DataAcc	runID	sampleID	figS4E_j	figS4E_o	figS4E_0905		bname
151C_rerunS17	151C_rerun	S17					TP2-22_S17_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS14	151C_rerun	S14					TP2-22_S14_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS13	151C_rerun	S13					TP1-27-ZT8_S13_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS11	151C_rerun	S11					TP1-27-ZT8_S11_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS12	151C_rerun	S12					TP1-22-ZT8_S12_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS10	151C_rerun	S10					TP1-22-ZT8_S10_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS22	174C	S22					PtaRAV1-Potri010G129200-PCR9-168C_S22_raw_bowtie2_PopTremAlba_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS23	174C	S23					PtaPIF1-Potri002G252800-S23-166C_S23_raw_bowtie2_PopTremAlba_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS24	174C	S24					PtaLHY2-Potri014G106800--S24-166C-_S24_raw_bowtie2_PopTremAlba_nomixed_sorted_rmdup_picard_genomenorm.bw
192CS10	192C	S10					PIF7-PIF7-MYC-LD-27C-ZT8_S10_Ath-TAIR10_RPKM.bw
192CS12	192C	S12					PIF7-PIF7-MYC-LD-27C-ZT12_S12_Ath-TAIR10_RPKM.bw
192CS9	192C	S9					PIF7-PIF7-MYC-LD-17C-ZT8_S9_Ath-TAIR10_RPKM.bw
192CS11	192C	S11					PIF7-PIF7-MYC-LD-17C-ZT12_S11_Ath-TAIR10_RPKM.bw
189CS9	189C	S9					pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_RPKM.bw
189CS8	189C	S8					pICE1--ICE1-LD-22C-ZT0--4C-mock_S8_RPKM.bw
189CS7	189C	S7					pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_RPKM.bw
186CS9	186C	S9					phyC-OX-GFP-FLAG-Zt20-LD_S9_RPKM.bw
186CS10	186C	S10					phyC-OX-GFP-FLAG-Zt20-LD_S10_RPKM.bw
189CS5	189C	S5					pCAMTA3-4C-mock_S5_RPKM.bw
189CS4	189C	S4					pCAMTA3-22C-mock_S4_RPKM.bw
189CS6	189C	S6					pCAMTA3-22C-cycloheximide_S6_RPKM.bw
189CS2	189C	S2					pCAMTA2-mock_S2_RPKM.bw
189CS1	189C	S1					pCAMTA2-22C-mock_S1_RPKM.bw
189CS3	189C	S3					pCAMTA2-22C-cycloheximide_S3_RPKM.bw
